CompleteSummary[Complete[Source[N0],Sink[N99],Reach[Reach[Reach[Reach[Reach[Reach[Reach[E2,E376],E380],E384],E387],E388],E394],E398]]]	0	99	-	complete
SanitizedSummary[Sanitized[Complete[Source[N0],Sink[N99],Reach[Reach[Reach[Reach[Reach[Reach[Reach[E2,E376],E380],E384],E387],E388],E394],E398]],Sanitizer[N95],Reach[Reach[Reach[Reach[Reach[E2,E376],E380],E384],E387]],Reach[Reach[Reach[E388,E394],E398]]]]	0	99	95	sanitized
UnsanitizedSummary[Unsanitized[SensitiveOnPath[Complete[Source[N0],Sink[N99],Reach[Reach[Reach[Reach[Reach[Reach[Reach[E2,E376],E380],E384],E387],E388],E394],E398]],SensFromType[S30],Reach[Reach[E2,E376]],Reach[Reach[Reach[Reach[Reach[Reach[E380,E384],E387],E388],E394],E398]]]]]	0	99	-	unsanitized
UnsanitizedSummary[Unsanitized[SensitiveOnPath[Complete[Source[N0],Sink[N99],Reach[Reach[Reach[Reach[Reach[Reach[Reach[E2,E376],E380],E384],E387],E388],E394],E398]],SensFromType[S31],Reach[Reach[Reach[Reach[E2,E376],E380],E384]],Reach[Reach[Reach[Reach[E387,E388],E394],E398]]]]]	0	99	-	unsanitized
CompleteSummary[Complete[Source[N0],Sink[N99],Reach[Reach[Reach[Reach[Reach[Reach[E2,E376],E380],E384],E387],E388],E396]]]	0	99	-	complete
SanitizedSummary[Sanitized[Complete[Source[N0],Sink[N99],Reach[Reach[Reach[Reach[Reach[Reach[E2,E376],E380],E384],E387],E388],E396]],Sanitizer[N95],Reach[Reach[Reach[Reach[Reach[E2,E376],E380],E384],E387]],Reach[Reach[E388,E396]]]]	0	99	95	sanitized
UnsanitizedSummary[Unsanitized[SensitiveOnPath[Complete[Source[N0],Sink[N99],Reach[Reach[Reach[Reach[Reach[Reach[E2,E376],E380],E384],E387],E388],E396]],SensFromType[S30],Reach[Reach[E2,E376]],Reach[Reach[Reach[Reach[Reach[E380,E384],E387],E388],E396]]]]]	0	99	-	unsanitized
UnsanitizedSummary[Unsanitized[SensitiveOnPath[Complete[Source[N0],Sink[N99],Reach[Reach[Reach[Reach[Reach[Reach[E2,E376],E380],E384],E387],E388],E396]],SensFromType[S31],Reach[Reach[Reach[Reach[E2,E376],E380],E384]],Reach[Reach[Reach[E387,E388],E396]]]]]	0	99	-	unsanitized
CompleteSummary[Complete[Source[N0],Sink[N99],Reach[Reach[Reach[Reach[Reach[Reach[E2,E376],E380],E384],E390],E394],E398]]]	0	99	-	complete
UnsanitizedSummary[Unsanitized[SensitiveOnPath[Complete[Source[N0],Sink[N99],Reach[Reach[Reach[Reach[Reach[Reach[E2,E376],E380],E384],E390],E394],E398]],SensFromType[S30],Reach[Reach[E2,E376]],Reach[Reach[Reach[Reach[Reach[E380,E384],E390],E394],E398]]]]]	0	99	-	unsanitized
UnsanitizedSummary[Unsanitized[SensitiveOnPath[Complete[Source[N0],Sink[N99],Reach[Reach[Reach[Reach[Reach[Reach[E2,E376],E380],E384],E390],E394],E398]],SensFromType[S31],Reach[Reach[Reach[Reach[E2,E376],E380],E384]],Reach[Reach[Reach[E390,E394],E398]]]]]	0	99	-	unsanitized
CompleteSummary[Complete[Source[N0],Sink[N99],Reach[Reach[Reach[Reach[Reach[E2,E376],E380],E384],E390],E396]]]	0	99	-	complete
UnsanitizedSummary[Unsanitized[SensitiveOnPath[Complete[Source[N0],Sink[N99],Reach[Reach[Reach[Reach[Reach[E2,E376],E380],E384],E390],E396]],SensFromType[S30],Reach[Reach[E2,E376]],Reach[Reach[Reach[Reach[E380,E384],E390],E396]]]]]	0	99	-	unsanitized
UnsanitizedSummary[Unsanitized[SensitiveOnPath[Complete[Source[N0],Sink[N99],Reach[Reach[Reach[Reach[Reach[E2,E376],E380],E384],E390],E396]],SensFromType[S31],Reach[Reach[Reach[Reach[E2,E376],E380],E384]],Reach[Reach[E390,E396]]]]]	0	99	-	unsanitized
CompleteSummary[Complete[Source[N0],Sink[N99],Reach[Reach[Reach[Reach[Reach[Reach[E2,E376],E380],E384],E392],E395],E396]]]	0	99	-	complete
UnsanitizedSummary[Unsanitized[SensitiveOnPath[Complete[Source[N0],Sink[N99],Reach[Reach[Reach[Reach[Reach[Reach[E2,E376],E380],E384],E392],E395],E396]],SensFromType[S30],Reach[Reach[E2,E376]],Reach[Reach[Reach[Reach[Reach[E380,E384],E392],E395],E396]]]]]	0	99	-	unsanitized
